Row ID|Order ID|Order Date|Ship Date|Ship Mode|Customer ID|Customer Name|Segment|Country|City|State|Postal Code|Region|Product ID|Category|Sub-Category|Product Name|Sales|Quantity|Discount|Profit
1|CA-2018-152156|2018-11-08|2018-11-07|Second Class|CG-12520|Claire Gute|Consumer|United States|Henderson|Kentucky|42420.0|South|FUR-BO-10001798|Furniture|Bookcases|Bush Somerset Collection Bookcase|261.96|2|0.0|41.9136
2|CA-2018-152156|2018-11-08|2018-11-11|Second Class|CG-12520|Claire Gute|Consumer|United States|Henderson|Kentucky|42420.0|South|FUR-CH-10000454|Furniture|Chairs|Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back|731.9399999999999|3|0.0|219.58199999999997
3|CA-2018-138688|2018-06-12|2018-06-16|Second Class|DV-13045|Darrin Van Huff|Corporate|United States|Los Angeles|California|90036.0|West|OFF-LA-10000240|Office Supplies|Labels|Self-Adhesive Address Labels for Typewriters by Universal|14.62|2|0.0|6.8713999999999995
4|US-2017-108966|2017-10-11|2017-10-18|Standard Class|SO-20335|Sean O'Donnell|Consumer|United States|Fort Lauderdale|Florida|33311.0|South|FUR-TA-10000577|Furniture|Tables|Bretford CR4500 Series Slim Rectangular Table|957.5775|5|0.45|-383.03100000000006
5|US-2017-108966|2017-10-11|2017-10-18|Standard Class|SO-20335|Sean O'Donnell|Consumer|United States|Fort Lauderdale|Florida|33311.0|South|OFF-ST-10000760|Office Supplies|Storage|Eldon Fold 'N Roll Cart System|22.368000000000002|2|0.2|2.516399999999999
6|CA-2016-115812|2016-06-09|2016-06-14|Standard Class|BH-11710|Brosina Hoffman|Consumer|United States|Los Angeles|California|90032.0|West|FUR-FU-10001487|Furniture|Furnishings|Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood|48.86|7|0.0|14.169399999999996
7|CA-2016-115812|2016-06-09|2016-06-14|Standard Class|BH-11710|Brosina Hoffman|Consumer|United States|Los Angeles|California|90032.0|West|OFF-AR-10002833|Office Supplies|Art|Newell 322|7.28|4|0.0|1.9656000000000002
8|CA-2016-115812|2016-06-09|2016-06-14|Standard Class|BH-11710|Brosina Hoffman|Consumer|United States|Los Angeles|California|90032.0|West|TEC-PH-10002275|Technology|Phones|Mitel 5320 IP Phone VoIP phone|907.152|6|0.2|90.71520000000004
9|CA-2016-115812|2016-06-09|2016-06-14|Standard Class|BH-11710|Brosina Hoffman|Consumer|United States|Los Angeles|California|90032.0|West|OFF-BI-10003910|Office Supplies|Binders|DXL Angle-View Binders with Locking Rings by Samsill|18.504|3|0.2|5.7825
10|CA-2016-115812|2016-06-09|2016-06-14|Standard Class|BH-11710|Brosina Hoffman|Consumer|United States|Los Angeles|California|90032.0|West|OFF-AP-10002892|Office Supplies|Appliances|Belkin F5C206VTEL 6 Outlet Surge|114.9|5|0.0|34.46999999999999
11|CA-2016-115812|2016-06-09|2016-06-14|Standard Class|BH-11710|Brosina Hoffman|Consumer|United States|Los Angeles|California|90032.0|West|FUR-TA-10001539|Furniture|Tables|Chromcraft Rectangular Conference Tables|1706.1840000000002|9|0.2|85.3091999999998
12|CA-2016-115812|2016-06-09|2016-06-14|Standard Class|BH-11710|Brosina Hoffman|Consumer|United States|Los Angeles|California|90032.0|West|TEC-PH-10002033|Technology|Phones|Konftel 250 Conference phone - Charcoal black|911.424|4|0.2|68.35680000000002
13|CA-2019-114412|2019-04-15|2019-04-20|Standard Class|AA-10480|Andrew Allen|Consumer|United States|Concord|North Carolina|28027.0|South|OFF-PA-10002365|Office Supplies|Paper|Xerox 1967|15.552000000000003|3|0.2|5.4432
14|CA-2018-161389|2018-12-05|2018-12-10|Standard Class|IM-15070|Irene Maddox|Consumer|United States|Seattle|Washington|98103.0|West|OFF-BI-10003656|Office Supplies|Binders|Fellowes PB200 Plastic Comb Binding Machine|407.97600000000006|3|0.2|132.59219999999993
15|US-2017-118983|2017-11-22|2017-11-26|Standard Class|HP-14815|Harold Pawlan|Home Office|United States|Fort Worth|Texas|76106.0|Central|OFF-AP-10002311|Office Supplies|Appliances|Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter|68.80999999999999|5|0.8|-123.858
16|US-2017-118983|2017-11-22|2017-11-26|Standard Class|HP-14815|Harold Pawlan|Home Office|United States|Fort Worth|Texas|76106.0|Central|OFF-BI-10000756|Office Supplies|Binders|Storex DuraTech Recycled Plastic Frosted Binders|2.5439999999999996|3|0.8|-3.8160000000000016
17|CA-2016-105893|2016-11-11|2016-11-18|Standard Class|PK-19075|Pete Kriz|Consumer|United States|Madison|Wisconsin|53711.0|Central|OFF-ST-10004186|Office Supplies|Storage|"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D"|665.88|6|0.0|13.317599999999999
18|CA-2016-167164|2016-05-13|2016-05-15|Second Class|AG-10270|Alejandro Grove|Consumer|United States|West Jordan|Utah|84084.0|West|OFF-ST-10000107|Office Supplies|Storage|Fellowes Super Stor/Drawer|55.5|2|0.0|9.989999999999995
19|CA-2016-143336|2016-08-27|2016-09-01|Second Class|ZD-21925|Zuschuss Donatelli|Consumer|United States|San Francisco|California|94109.0|West|OFF-AR-10003056|Office Supplies|Art|Newell 341|8.56|2|0.0|2.4823999999999993
20|CA-2016-143336|2016-08-27|2016-09-01|Second Class|ZD-21925|Zuschuss Donatelli|Consumer|United States|San Francisco|California|94109.0|West|TEC-PH-10001949|Technology|Phones|Cisco SPA 501G IP Phone|213.48000000000002|3|0.2|16.01099999999998
21|CA-2016-143336|2016-08-27|2016-09-01|Second Class|ZD-21925|Zuschuss Donatelli|Consumer|United States|San Francisco|California|94109.0|West|OFF-BI-10002215|Office Supplies|Binders|"Wilson Jones Hanging View Binder, White, 1"""|22.72|4|0.2|7.383999999999999
22|CA-2018-137330|2018-12-09|2018-12-13|Standard Class|KB-16585|Ken Black|Corporate|United States|Fremont|Nebraska|68025.0|Central|OFF-AR-10000246|Office Supplies|Art|Newell 318|19.459999999999997|7|0.0|5.0596
23|CA-2018-137330|2018-12-09|2018-12-13|Standard Class|KB-16585|Ken Black|Corporate|United States|Fremont|Nebraska|68025.0|Central|OFF-AP-10001492|Office Supplies|Appliances|Acco Six-Outlet Power Strip, 4' Cord Length|60.339999999999996|7|0.0|15.688400000000001
24|US-2019-156909|2019-07-16|2019-07-18|Second Class|SF-20065|Sandra Flanagan|Consumer|United States|Philadelphia|Pennsylvania|19140.0|East|FUR-CH-10002774|Furniture|Chairs|Global Deluxe Stacking Chair, Gray|71.37199999999999|2|0.3|-1.0196000000000005
25|CA-2017-106320|2017-09-25|2017-09-30|Standard Class|EB-13870|Emily Burns|Consumer|United States|Orem|Utah|84057.0|West|FUR-TA-10000577|Furniture|Tables|Bretford CR4500 Series Slim Rectangular Table|1044.6299999999999|3|0.0|240.2649
26|CA-2018-121755|2018-01-16|2018-01-20|Second Class|EH-13945|Eric Hoffmann|Consumer|United States|Los Angeles|California|90049.0|West|OFF-BI-10001634|Office Supplies|Binders|Wilson Jones Active Use Binders|11.648000000000001|2|0.2|4.2224
27|CA-2018-121755|2018-01-16|2018-01-20|Second Class|EH-13945|Eric Hoffmann|Consumer|United States|Los Angeles|California|90049.0|West|TEC-AC-10003027|Technology|Accessories|Imation 8GB Mini TravelDrive USB 2.0 Flash Drive|90.57000000000001|3|0.0|11.774100000000004
28|US-2017-150630|2017-09-17|2017-09-21|Standard Class|TB-21520|Tracy Blumstein|Consumer|United States|Philadelphia|Pennsylvania|19140.0|East|FUR-BO-10004834|Furniture|Bookcases|Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish|3083.4300000000003|7|0.5|-1665.0522
29|US-2017-150630|2017-09-17|2017-09-21|Standard Class|TB-21520|Tracy Blumstein|Consumer|United States|Philadelphia|Pennsylvania|19140.0|East|OFF-BI-10000474|Office Supplies|Binders|Avery Recycled Flexi-View Covers for Binding Systems|9.618000000000002|2|0.7|-7.0532
30|US-2017-150630|2017-09-17|2017-09-21|Standard Class|TB-21520|Tracy Blumstein|Consumer|United States|Philadelphia|Pennsylvania|19140.0|East|FUR-FU-10004848|Furniture|Furnishings|"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock"|124.20000000000002|3|0.2|15.524999999999991
31|US-2017-150630|2017-09-17|2017-09-21|Standard Class|TB-21520|Tracy Blumstein|Consumer|United States|Philadelphia|Pennsylvania|19140.0|East|OFF-EN-10001509|Office Supplies|Envelopes|Poly String Tie Envelopes|3.2640000000000002|2|0.2|1.1015999999999997
32|US-2017-150630|2017-09-17|2017-09-21|Standard Class|TB-21520|Tracy Blumstein|Consumer|United States|Philadelphia|Pennsylvania|19140.0|East|OFF-AR-10004042|Office Supplies|Art|BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain|86.304|6|0.2|9.709199999999989
33|US-2017-150630|2017-09-17|2017-09-21|Standard Class|TB-21520|Tracy Blumstein|Consumer|United States|Philadelphia|Pennsylvania|19140.0|East|OFF-BI-10001525|Office Supplies|Binders|"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red"|6.858000000000001|6|0.7|-5.715
34|US-2017-150630|2017-09-17|2017-09-21|Standard Class|TB-21520|Tracy Blumstein|Consumer|United States|Philadelphia|Pennsylvania|19140.0|East|OFF-AR-10001683|Office Supplies|Art|Lumber Crayons|15.76|2|0.2|3.5460000000000007
35|CA-2019-107727|2019-10-19|2019-10-23|Second Class|MA-17560|Matt Abelman|Home Office|United States|Houston|Texas|77095.0|Central|OFF-PA-10000249|Office Supplies|Paper|Easy-staple paper|29.472|3|0.2|9.946799999999998
36|CA-2018-117590|2018-12-08|2018-12-10|First Class|GH-14485|Gene Hale|Corporate|United States|Richardson|Texas|75080.0|Central|TEC-PH-10004977|Technology|Phones|GE 30524EE4|1097.5440000000003|7|0.2|123.4736999999999
37|CA-2018-117590|2018-12-08|2018-12-10|First Class|GH-14485|Gene Hale|Corporate|United States|Richardson|Texas|75080.0|Central|FUR-FU-10003664|Furniture|Furnishings|Electrix Architect's Clamp-On Swing Arm Lamp, Black|190.92|5|0.6|-147.96300000000002
38|CA-2017-117415|2017-12-27|2017-12-31|Standard Class|SN-20710|Steve Nguyen|Home Office|United States|Houston|Texas|77041.0|Central|OFF-EN-10002986|Office Supplies|Envelopes|"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes"|113.328|9|0.2|35.415
39|CA-2017-117415|2017-12-27|2017-12-31|Standard Class|SN-20710|Steve Nguyen|Home Office|United States|Houston|Texas|77041.0|Central|FUR-BO-10002545|Furniture|Bookcases|Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors|532.3992|3|0.32|-46.97640000000001
40|CA-2017-117415|2017-12-27|2017-12-31|Standard Class|SN-20710|Steve Nguyen|Home Office|United States|Houston|Texas|77041.0|Central|FUR-CH-10004218|Furniture|Chairs|Global Fabric Manager's Chair, Dark Gray|212.058|3|0.3|-15.146999999999991
41|CA-2017-117415|2017-12-27|2017-12-31|Standard Class|SN-20710|Steve Nguyen|Home Office|United States|Houston|Texas|77041.0|Central|TEC-PH-10000486|Technology|Phones|Plantronics HL10 Handset Lifter|371.168|4|0.2|41.75639999999996
42|CA-2019-120999|2019-09-10|2019-09-15|Standard Class|LC-16930|Linda Cazamias|Corporate|United States|Naperville|Illinois|60540.0|Central|TEC-PH-10004093|Technology|Phones|Panasonic Kx-TS550|147.168|4|0.2|16.556399999999996
43|CA-2018-101343|2018-07-17|2018-07-22|Standard Class|RA-19885|Ruben Ausman|Corporate|United States|Los Angeles|California|90049.0|West|OFF-ST-10003479|Office Supplies|Storage|Eldon Base for stackable storage shelf, platinum|77.88|2|0.0|3.8939999999999912
44|CA-2019-139619|2019-09-19|2019-09-23|Standard Class|ES-14080|Erin Smith|Corporate|United States|Melbourne|Florida|32935.0|South|OFF-ST-10003282|Office Supplies|Storage|Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers|95.616|2|0.2|9.56160000000001
45|CA-2018-118255|2018-03-11|2018-03-13|First Class|ON-18715|Odella Nelson|Corporate|United States|Eagan|Minnesota|55122.0|Central|TEC-AC-10000171|Technology|Accessories|Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack|45.98|2|0.0|19.7714
46|CA-2018-118255|2018-03-11|2018-03-13|First Class|ON-18715|Odella Nelson|Corporate|United States|Eagan|Minnesota|55122.0|Central|OFF-BI-10003291|Office Supplies|Binders|Wilson Jones Leather-Like Binders with DublLock Round Rings|17.46|2|0.0|8.206199999999999
47|CA-2016-146703|2016-10-20|2016-10-25|Second Class|PO-18865|Patrick O'Donnell|Consumer|United States|Westland|Michigan|48185.0|Central|OFF-ST-10001713|Office Supplies|Storage|Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black|211.96|4|0.0|8.478399999999993
48|CA-2018-169194|2018-06-20|2018-06-25|Standard Class|LH-16900|Lena Hernandez|Consumer|United States|Dover|Delaware|19901.0|East|TEC-AC-10002167|Technology|Accessories|Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive|45.0|3|0.0|4.950000000000001
49|CA-2018-169194|2018-06-20|2018-06-25|Standard Class|LH-16900|Lena Hernandez|Consumer|United States|Dover|Delaware|19901.0|East|TEC-PH-10003988|Technology|Phones|LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite|21.8|2|0.0|6.104000000000001
50|CA-2017-115742|2017-04-18|2017-04-22|Standard Class|DP-13000|Darren Powers|Consumer|United States|New Albany|Indiana|47150.0|Central|OFF-BI-10004410|Office Supplies|Binders|C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack|38.22|6|0.0|17.9634
51|CA-2017-115742|2017-04-18|2017-04-22|Standard Class|DP-13000|Darren Powers|Consumer|United States|New Albany|Indiana|47150.0|Central|OFF-LA-10002762|Office Supplies|Labels|Avery 485|75.17999999999999|6|0.0|35.334599999999995
52|CA-2017-115742|2017-04-18|2017-04-22|Standard Class|DP-13000|Darren Powers|Consumer|United States|New Albany|Indiana|47150.0|Central|FUR-FU-10001706|Furniture|Furnishings|Longer-Life Soft White Bulbs|6.16|2|0.0|2.9568
53|CA-2017-115742|2017-04-18|2017-04-22|Standard Class|DP-13000|Darren Powers|Consumer|United States|New Albany|Indiana|47150.0|Central|FUR-CH-10003061|Furniture|Chairs|Global Leather Task Chair, Black|89.99|1|0.0|17.098099999999988
54|CA-2018-105816|2018-12-11|2018-12-17|Standard Class|JM-15265|Janet Molinari|Corporate|United States|New York City|New York|10024.0|East|OFF-FA-10000304|Office Supplies|Fasteners|Advantus Push Pins|15.260000000000002|7|0.0|6.256600000000001
55|CA-2018-105816|2018-12-11|2018-12-17|Standard Class|JM-15265|Janet Molinari|Corporate|United States|New York City|New York|10024.0|East|TEC-PH-10002447|Technology|Phones|AT&T CL83451 4-Handset Telephone|1029.95|5|0.0|298.6855
56|CA-2018-111682|2018-06-17|2018-06-18|First Class|TB-21055|Ted Butterfield|Consumer|United States|Troy|New York|12180.0|East|OFF-ST-10000604|Office Supplies|Storage|Home/Office Personal File Carts|208.56|6|0.0|52.139999999999986
57|CA-2018-111682|2018-06-17|2018-06-18|First Class|TB-21055|Ted Butterfield|Consumer|United States|Troy|New York|12180.0|East|OFF-PA-10001569|Office Supplies|Paper|Xerox 232|32.400000000000006|5|0.0|15.552000000000001
58|CA-2018-111682|2018-06-17|2018-06-18|First Class|TB-21055|Ted Butterfield|Consumer|United States|Troy|New York|12180.0|East|FUR-CH-10003968|Furniture|Chairs|Novimex Turbo Task Chair|319.41|5|0.1|7.098000000000006
59|CA-2018-111682|2018-06-17|2018-06-18|First Class|TB-21055|Ted Butterfield|Consumer|United States|Troy|New York|12180.0|East|OFF-PA-10000587|Office Supplies|Paper|Array Parchment Paper, Assorted Colors|14.56|2|0.0|6.9888
60|CA-2018-111682|2018-06-17|2018-06-18|First Class|TB-21055|Ted Butterfield|Consumer|United States|Troy|New York|12180.0|East|TEC-AC-10002167|Technology|Accessories|Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive|30.0|2|0.0|3.3000000000000007
61|CA-2018-111682|2018-06-17|2018-06-18|First Class|TB-21055|Ted Butterfield|Consumer|United States|Troy|New York|12180.0|East|OFF-BI-10001460|Office Supplies|Binders|Plastic Binding Combs|48.480000000000004|4|0.2|16.362
62|CA-2018-111682|2018-06-17|2018-06-18|First Class|TB-21055|Ted Butterfield|Consumer|United States|Troy|New York|12180.0|East|OFF-AR-10001868|Office Supplies|Art|Prang Dustless Chalk Sticks|1.68|1|0.0|0.84
63|CA-2017-135545|2017-11-24|2017-11-30|Standard Class|KM-16720|Kunst Miller|Consumer|United States|Los Angeles|California|90004.0|West|TEC-AC-10004633|Technology|Accessories|Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack|13.98|2|0.0|6.151200000000001
64|CA-2017-135545|2017-11-24|2017-11-30|Standard Class|KM-16720|Kunst Miller|Consumer|United States|Los Angeles|California|90004.0|West|OFF-BI-10001078|Office Supplies|Binders|"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11"""|25.824|6|0.2|9.3612
65|CA-2017-135545|2017-11-24|2017-11-30|Standard Class|KM-16720|Kunst Miller|Consumer|United States|Los Angeles|California|90004.0|West|OFF-PA-10003892|Office Supplies|Paper|Xerox 1943|146.73|3|0.0|68.9631
66|CA-2017-135545|2017-11-24|2017-11-30|Standard Class|KM-16720|Kunst Miller|Consumer|United States|Los Angeles|California|90004.0|West|FUR-FU-10000397|Furniture|Furnishings|Luxo Economy Swing Arm Lamp|79.76|4|0.0|22.332800000000006
67|US-2017-164175|2017-04-30|2017-05-05|Standard Class|PS-18970|Paul Stevenson|Home Office|United States|Chicago|Illinois|60610.0|Central|FUR-CH-10001146|Furniture|Chairs|Global Value Mid-Back Manager's Chair, Gray|213.11499999999998|5|0.3|-15.22250000000001
68|CA-2016-106376|2016-12-05|2016-12-10|Standard Class|BS-11590|Brendan Sweed|Corporate|United States|Gilbert|Arizona|85234.0|West|OFF-AR-10002671|Office Supplies|Art|Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige|1113.0240000000001|8|0.2|111.30239999999998
69|CA-2016-106376|2016-12-05|2016-12-10|Standard Class|BS-11590|Brendan Sweed|Corporate|United States|Gilbert|Arizona|85234.0|West|TEC-PH-10002726|Technology|Phones|netTALK DUO VoIP Telephone Service|167.96800000000002|4|0.2|62.988
70|CA-2018-119823|2018-06-04|2018-06-06|First Class|KD-16270|Karen Daniels|Consumer|United States|Springfield|Virginia|22153.0|South|OFF-PA-10000482|Office Supplies|Paper|Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate|75.88|2|0.0|35.663599999999995
71|CA-2018-106075|2018-09-18|2018-09-23|Standard Class|HM-14980|Henry MacAllister|Consumer|United States|New York City|New York|10009.0|East|OFF-BI-10004654|Office Supplies|Binders|Avery Binding System Hidden Tab Executive Style Index Sets|4.616|1|0.2|1.7309999999999999
72|CA-2019-114440|2019-09-14|2019-09-17|Second Class|TB-21520|Tracy Blumstein|Consumer|United States|Jackson|Michigan|49201.0|Central|OFF-PA-10004675|Office Supplies|Paper|"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16"""|19.049999999999997|3|0.0|8.763
73|US-2017-134026|2017-04-26|2017-05-02|Standard Class|JE-15745|Joel Eaton|Consumer|United States|Memphis|Tennessee|38109.0|South|FUR-CH-10000513|Furniture|Chairs|High-Back Leather Manager's Chair|831.9360000000001|8|0.2|-114.39120000000003
74|US-2017-134026|2017-04-26|2017-05-02|Standard Class|JE-15745|Joel Eaton|Consumer|United States|Memphis|Tennessee|38109.0|South|FUR-FU-10003708|Furniture|Furnishings|"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48"""|97.04|2|0.2|1.2129999999999974
75|US-2017-134026|2017-04-26|2017-05-02|Standard Class|JE-15745|Joel Eaton|Consumer|United States|Memphis|Tennessee|38109.0|South|OFF-ST-10004123|Office Supplies|Storage|Safco Industrial Wire Shelving System|72.784|1|0.2|-18.196
76|US-2019-118038|2019-12-09|2019-12-11|First Class|KB-16600|Ken Brennan|Corporate|United States|Houston|Texas|77041.0|Central|OFF-BI-10004182|Office Supplies|Binders|Economy Binders|1.2479999999999998|3|0.8|-1.9344000000000006
77|US-2019-118038|2019-12-09|2019-12-11|First Class|KB-16600|Ken Brennan|Corporate|United States|Houston|Texas|77041.0|Central|FUR-FU-10000260|Furniture|Furnishings|"6"" Cubicle Wall Clock, Black"|9.708|3|0.6|-5.8248000000000015
78|US-2019-118038|2019-12-09|2019-12-11|First Class|KB-16600|Ken Brennan|Corporate|United States|Houston|Texas|77041.0|Central|OFF-ST-10000615|Office Supplies|Storage|SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h|27.240000000000002|3|0.2|2.724000000000002
79|US-2016-147606|2016-11-26|2016-12-01|Second Class|JE-15745|Joel Eaton|Consumer|United States|Houston|Texas|77070.0|Central|FUR-FU-10003194|Furniture|Furnishings|Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak|19.3|5|0.6|-14.475000000000001
80|CA-2018-127208|2018-06-12|2018-06-15|First Class|SC-20770|Stewart Carmichael|Corporate|United States|Decatur|Alabama|35601.0|South|OFF-AP-10002118|Office Supplies|Appliances|"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators"|208.16|1|0.0|56.20320000000001
81|CA-2018-127208|2018-06-12|2018-06-15|First Class|SC-20770|Stewart Carmichael|Corporate|United States|Decatur|Alabama|35601.0|South|OFF-BI-10002309|Office Supplies|Binders|Avery Heavy-Duty EZD  Binder With Locking Rings|16.740000000000002|3|0.0|8.0352
82|CA-2016-139451|2016-10-12|2016-10-16|Standard Class|DN-13690|Duane Noonan|Consumer|United States|San Francisco|California|94122.0|West|OFF-AR-10002053|Office Supplies|Art|Premium Writing Pencils, Soft, #2 by Central Association for the Blind|14.9|5|0.0|4.172000000000001
83|CA-2016-139451|2016-10-12|2016-10-16|Standard Class|DN-13690|Duane Noonan|Consumer|United States|San Francisco|California|94122.0|West|OFF-ST-10002370|Office Supplies|Storage|Sortfiler Multipurpose Personal File Organizer, Black|21.39|1|0.0|6.203099999999999
84|CA-2017-149734|2017-09-03|2017-09-08|Standard Class|JC-16105|Julie Creighton|Corporate|United States|Durham|North Carolina|27707.0|South|OFF-EN-10000927|Office Supplies|Envelopes|Jet-Pak Recycled Peel 'N' Seal Padded Mailers|200.98400000000004|7|0.2|62.807499999999976
