Row ID,Order ID,Order Date,Ship Date,Ship Mode,Order Priority,Product Container,Customer Name,Customer Segment,Zip Code,State,City,Region,Product Category,Product Sub-Category,Product Name,Unit Price,Order Quantity,Sales,Profit,Discount,Shipping Cost,Product Base Margin
1,3,2010-10-13,2010-10-20,Regular Air,Low,Large Box,Muhammed MacIntyre,Small Business,60035,Illinois,Highland Park,Central,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",38.94,6,261.54,-213.25,0.04,35,0.8
2,6,2012-02-20,2012-02-21,Regular Air,Not Specified,Small Pack,Ruben Dartt,Corporate,98026,Washington,Edmonds,West,Office Supplies,"Scissors, Rulers and Trimmers",Kleencut® Forged Office Shears by Acme United Corporation,2.08,2,6.93,-4.64,0.01,2.56,0.55
3,32,2011-07-15,2011-07-17,Regular Air,High,Medium Box,Liz Pelletier,Corporate,98387,Washington,Elk Plain,West,Furniture,Office Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",107.53,26,2808.08,1054.82,0.07,5.81,0.65
4,32,2011-07-15,2011-07-16,Delivery Truck,High,Jumbo Box,Liz Pelletier,Corporate,98387,Washington,Elk Plain,West,Furniture,Tables,KI Conference Tables,70.89,24,1761.4,-1748.56,0.09,89.3,0.72
5,32,2011-07-15,2011-07-17,Regular Air,High,Medium Box,Liz Pelletier,Corporate,98387,Washington,Elk Plain,West,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,7.99,23,160.2335,-85.13,0.04,5.03,0.6
6,32,2011-07-15,2011-07-16,Regular Air,High,Small Pack,Liz Pelletier,Corporate,27260,North Carolina,High Point,South,Technology,Computer Peripherals,"Imation 3.5 IBM Diskettes, 10/Box",8.46,15,140.56,-128.38,0.04,8.99,0.79
7,35,2011-10-22,2011-10-23,Regular Air,Not Specified,Wrap Bag,Julie Creighton,Corporate,50010,Iowa,Ames,Central,Office Supplies,Pens & Art Supplies,Dixon Ticonderoga Core-Lock Colored Pencils,9.11,30,288.56,60.72,0.03,2.25,0.52
8,35,2011-10-22,2011-10-24,Regular Air,Not Specified,Small Box,Julie Creighton,Corporate,50010,Iowa,Ames,Central,Technology,Telephones and Communication,CF 688,155.99,14,1892.848,48.99,0.01,8.99,0.58
9,36,2011-11-02,2011-11-02,Regular Air,Critical,Small Box,Sample Company A,Home Office,97321,Oregon,Albany,West,Technology,Telephones and Communication,6162i,65.99,46,2484.7455,657.48,0.1,4.2,0.55
10,65,2011-03-17,2011-03-18,Regular Air,Critical,Small Pack,Tamara Dahlen,Corporate,78660,Texas,Pflugerville,Central,Technology,Computer Peripherals,"Verbatim DVD-R, 4.7GB, Spindle, WE, Blank, Ink Jet/Thermal, 20/Spindle",115.79,32,3812.73,1470.30,0.02,1.99,0.49
11,66,2009-01-19,2009-01-19,Regular Air,Low,Wrap Bag,Arthur Gainer,Consumer,87505,New Mexico,Santa Fe,West,Office Supplies,Pens & Art Supplies,Newell 340,2.88,41,108.15,7.57,0.09,0.7,0.56
12,69,2009-06-03,2009-06-05,Regular Air,Not Specified,Small Pack,Jonathan Doherty,Corporate,27529,North Carolina,Garner,South,Furniture,Office Furnishings,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",30.93,42,1186.06,511.69,0.09,3.92,0.44
13,69,2009-06-03,2009-06-05,Express Air,Not Specified,Wrap Bag,Jonathan Doherty,Corporate,27529,North Carolina,Garner,South,Office Supplies,Pens & Art Supplies,Newell 308,1.68,28,51.53,0.35,0.03,0.7,0.6
14,70,2010-12-17,2010-12-22,Regular Air,Low,Wrap Bag,Helen Wasserman,Home Office,11554,New York,East Meadow,East,Office Supplies,Rubber Bands,"Super Bands, 12/Pack",1.86,48,90.05,-107.00,0.03,2.58,0.82
15,70,2010-12-17,2010-12-22,Regular Air,Low,Small Box,Helen Wasserman,Home Office,11554,New York,East Meadow,East,Technology,Telephones and Communication,3285,205.99,46,7804.53,2057.17,0.05,5.99,0.59
16,96,2009-04-16,2009-04-18,Regular Air,High,Small Box,Keith Dawkins,Home Office,72209,Arkansas,Little Rock,South,Technology,Telephones and Communication,SC7868i,125.99,37,4158.1235,1228.89,0.01,8.99,0.55
17,97,2010-01-28,2010-01-29,Regular Air,Medium,Small Box,Craig Yedwab,Consumer,86314,Arizona,Prescott Valley,West,Office Supplies,Labels,Avery 498,2.89,26,75.57,28.24,0.03,0.5,0.38
18,129,2012-11-18,2012-11-27,Regular Air,Low,Small Box,Pauline Chand,Corporate,73160,Oklahoma,Moore,Central,Office Supplies,Paper,Xerox 217,6.48,4,32.72,-22.59,0.09,8.19,0.37
19,130,2012-05-07,2012-05-09,Express Air,High,Medium Box,Roy Collins,Corporate,37311,Tennessee,Cleveland,South,Technology,Office Machines,Canon MP41DH Printing Calculator,150.98,3,461.89,-309.82,0.05,13.99,0.38
20,130,2012-05-07,2012-05-08,Regular Air,High,Small Box,Roy Collins,Corporate,37311,Tennessee,Cleveland,South,Office Supplies,Paper,Computer Printout Paper with Letter-Trim Perforations,18.97,29,575.11,71.75,0.02,9.03,0.37
21,130,2012-05-07,2012-05-10,Regular Air,High,Small Box,Roy Collins,Corporate,37311,Tennessee,Cleveland,South,Office Supplies,Storage & Organization,Filing/Storage Totes and Swivel Casters,9.71,23,236.46,-134.31,0.05,9.45,0.6
22,132,2010-06-10,2010-06-11,Regular Air,Medium,Medium Box,Emily Phan,Consumer,07001,New Jersey,Avenel,East,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,7.99,27,192.814,-86.20,0.03,5.03,0.6
23,132,2010-06-10,2010-06-13,Delivery Truck,Medium,Jumbo Box,Emily Phan,Consumer,04240,Maine,Lewiston,East,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",130.98,30,4011.65,-603.80,0.05,54.74,0.69
24,134,2012-04-30,2012-05-02,Regular Air,Not Specified,Large Box,Michael Dominguez,Home Office,53005,Wisconsin,Brookfield,Central,Office Supplies,Storage & Organization,Safco Industrial Wire Shelving,95.99,11,1132.6,-310.21,0.01,35,
25,135,2011-10-20,2011-10-22,Regular Air,Not Specified,Small Pack,Anne Pryor,Consumer,12180,New York,Troy,East,Technology,Computer Peripherals,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",4.98,25,125.85,-89.25,0.09,4.62,0.64
26,166,2011-09-11,2011-09-13,Express Air,High,Small Box,Valerie Takahito,Consumer,33319,Florida,Tamarac,South,Technology,Telephones and Communication,i270,65.99,10,567.936,-126.09,0.02,8.99,0.55
27,193,2010-08-07,2010-08-09,Regular Air,Critical,Medium Box,Justin Hirsh,Consumer,11714,New York,Bethpage,East,Office Supplies,Storage & Organization,Eldon Simplefile® Box Office®,12.44,14,174.89,-37.04,0.06,6.27,0.57
28,194,2012-04-04,2012-04-06,Regular Air,Medium,Wrap Bag,Maria Zettner,Corporate,97068,Oregon,West Linn,West,Furniture,Office Furnishings,"Master Caster Door Stop, Large Neon Orange",7.28,49,329.03,-197.25,0.1,7.98,0.42
29,194,2012-04-04,2012-04-06,Regular Air,Medium,Wrap Bag,Maria Zettner,Corporate,97068,Oregon,West Linn,West,Office Supplies,"Scissors, Rulers and Trimmers",Serrated Blade or Curved Handle Hand Letter Openers,3.14,6,20.19,-13.44,0.04,1.92,0.84
30,195,2010-12-27,2010-12-29,Regular Air,Medium,Wrap Bag,Brad Thomas,Home Office,90805,California,Long Beach,West,Office Supplies,Pens & Art Supplies,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",36.55,34,1315.74,260.87,0.03,13.89,0.41
31,197,2011-04-06,2011-04-08,Regular Air,High,Small Pack,Penelope Sewall,Home Office,33023,Florida,Miramar,South,Office Supplies,"Scissors, Rulers and Trimmers","Acme® 8"" Straight Scissors",12.98,23,310.52,33.22,0.01,3.14,0.6
32,224,2009-06-17,2009-06-18,Regular Air,Not Specified,Small Box,Bart Folk,Corporate,91945,California,Lemon Grove,West,Furniture,Office Furnishings,"Eldon® Expressions™ Wood Desk Accessories, Oak",7.38,25,184.86,-33.95,0.09,5.21,0.56
33,224,2009-06-17,2009-06-18,Regular Air,Not Specified,Small Box,Bart Folk,Corporate,91945,California,Lemon Grove,West,Office Supplies,Paper,Xerox 193,5.98,44,267.85,-65.43,0.04,5.15,0.36
34,224,2009-06-17,2009-06-18,Regular Air,Not Specified,Small Box,Bart Folk,Corporate,91945,California,Lemon Grove,West,Office Supplies,Storage & Organization,"Decoflex Hanging Personal Folder File, Blue",15.42,33,528.5,-149.92,0.04,10.68,0.58
35,225,2011-05-24,2011-05-25,Regular Air,Critical,Wrap Bag,Karen Ferguson,Home Office,11741,New York,Holbrook,East,Office Supplies,Pens & Art Supplies,Newell 314,5.58,24,126.58,18.27,0.06,0.7,0.6
36,225,2011-05-24,2011-05-26,Regular Air,Critical,Wrap Bag,Karen Ferguson,Home Office,11741,New York,Holbrook,East,Office Supplies,Pens & Art Supplies,Prismacolor Color Pencil Set,19.84,1,23.7,-8.97,0.05,4.1,0.44
37,229,2010-12-28,2010-12-30,Regular Air,Critical,Small Pack,Matt Abelman,Consumer,55434,Minnesota,Blaine,Central,Furniture,Office Furnishings,Nu-Dell Executive Frame,12.64,43,586.11,98.44,0.11,4.98,0.48
38,229,2010-12-28,2010-12-29,Regular Air,Critical,Small Box,Peter Fuller,Consumer,30318,Georgia,Atlanta,South,Office Supplies,Binders and Binder Accessories,GBC Standard Therm-A-Bind Covers,24.92,24,599.1,3.82,0.02,12.98,0.39
39,230,2010-10-26,2010-10-28,Regular Air,Critical,Small Pack,Erin Creighton,Corporate,76028,Texas,Burleson,Central,Office Supplies,Pens & Art Supplies,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,43.98,47,2029.75,320.37,0.06,8.99,0.58
40,230,2010-10-26,2010-10-28,Regular Air,Critical,Small Box,Erin Creighton,Corporate,76028,Texas,Burleson,Central,Technology,Telephones and Communication,StarTAC ST7762,125.99,11,1118.396,-212.33,0.06,8.08,0.57
41,231,2009-09-28,2009-09-30,Regular Air,High,Small Box,Sean Braxton,Small Business,33021,Florida,Hollywood,South,Office Supplies,Appliances,Hoover WindTunnel™ Plus Canister Vacuum,363.25,2,689.74,-490.84,0.06,19.99,0.57
42,258,2010-12-28,2010-12-30,Regular Air,Critical,Small Box,Liz Willingham,Home Office,04210,Maine,Auburn,East,Office Supplies,Paper,Xerox 1984,6.48,21,154.35,-91.14,0,8.74,0.36
43,258,2010-12-28,2010-12-29,Delivery Truck,Critical,Jumbo Drum,Liz Willingham,Home Office,04011,Maine,Brunswick,East,Office Supplies,Storage & Organization,"Tennsco Lockers, Gray",20.98,7,201.36,-284.40,0,53.03,0.78
44,258,2010-12-28,2010-12-30,Regular Air,Critical,Small Box,Liz Willingham,Home Office,03051,New Hampshire,Hudson,East,Office Supplies,Binders and Binder Accessories,Wilson Jones® Four-Pocket Poly Binders,6.54,33,216.77,-55.11,0.02,5.27,0.36
45,261,2010-06-28,2010-06-29,Regular Air,Medium,Small Box,Sonia Sunley,Small Business,67846,Kansas,Garden City,Central,Technology,Telephones and Communication,7160,140.99,47,5677.609,1680.79,0.04,4.2,0.59
